Reference, Quantity, Value, Footprint, Datasheet, LCSC Part
C1 C2 ,2,"22p","stdpads:C_0805","~","C1804"
C3 ,1,"100n","stdpads:C_0805","~","C28233"
C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C44 C45 C46 C47 C48 C49 C50 ,47,"10u","stdpads:C_0805","~","C15850"
FID1 FID2 FID3 FID4 FID5 ,5,"Fiducial","stdpads:Fiducial","~"
H1 H2 H3 H4 ,4," ","stdpads:PasteHole_1.152mm_NPTH","~"
J1 ,1,"MacNuBus","stdpads:DIN41612_R_3x32_Male_Horizontal_THT",""
J2 ,1,"Xunpu TF-115","stdpads:Xunpu_TF-115_microSD","","C266620"
J3 ,1,"microUSB-B","stdpads:USB_Micro-B_ShouHan_MicroXNJ","~","C404969"
J4 ,1,"JTAG","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","C5665"
Q1 Q2 Q3 Q4 Q5 ,5,"MMBT3904","stdpads:SOT-23","~","C20526"
R1 R2 R4 R5 R8 R11 R12 R15 ,8,"100","stdpads:R_0805","~","C17408"
R18 R20 R21 R23 R24 ,5,"DNP","stdpads:R_0805","~"
R3 R9 R25 R26 R33 ,5,"22","stdpads:R_0805","~","C17561"
R13 R14 R16 R22 R28 R29 R30 R34 R35 R36 ,10,"10k","stdpads:R_0805","~","C17414"
R10 R17 R19 R27 R31 R32 ,6,"1k","stdpads:R_0805","~","C17513"
R6 R7 ,2,"47k","stdpads:R_0805","~","C17713"
U1 ,1,"ESP-WROVER-32","stdpads:ESP32-WROVER_WROOM-32_WROVER","","C967023"
U17 U18 U19 U35 U36 U37 ,6,"74LVC74AD","stdpads:SOIC-14_3.9mm","74xx/74hc_hct74.pdf","C7864"
U2 ,1,"SST39SF040","stdpads:PLCC-32_SMDSocket","http://ww1.microchip.com/downloads/en/DeviceDoc/20005022C.pdf","C72257"
U20 ,1,"74LVC86AD","stdpads:SOIC-14_3.9mm","http://www.ti.com/lit/gpn/sn74LS86","C548853"
U22 ,1,"74LVC02AD","stdpads:SOIC-14_3.9mm","http://www.ti.com/lit/gpn/sn74LS02","C7804"
U23 ,1,"74LVC00AD","stdpads:SOIC-14_3.9mm","http://www.ti.com/lit/gpn/sn74LS00","C7802"
U24 U26 ,2,"74LVC125AD","stdpads:SOIC-14_3.9mm","http://www.ti.com/lit/gpn/sn74LS125","C7661"
U21 U25 U34 U42 ,4,"74LVC32AD","stdpads:SOIC-14_3.9mm","http://www.ti.com/lit/gpn/sn74LS08","C7852"
U27 ,1,"AZ1117EH-3.3TRG1","stdpads:SOT-223","http://www.diodes.com/datasheets/AP1117.pdf","C108494"
U28 ,1,"SST39SF040","Package_DIP:DIP-32_W15.24mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/20005022C.pdf","C72128"
U3 ,1,"CH340G","stdpads:SOIC-16_3.9mm","http://www.datasheet5.com/pdf-local-2195953","C14267"
U4 ,1,"74LVC245AD","stdpads:SOIC-20W_7.5mm","","C6080"
U5 U6 U7 U8 U9 U10 U11 U12 U13 U14 U15 U16 U29 U30 U31 U32 U33 U38 U39 U40 U41 ,21,"74LVC574AD","stdpads:SOIC-20W_7.5mm","","C6097"
Y1 ,1,"12M","stdpads:Crystal_HC49-SMD","~","C9002"
